Title,Genre,quarter_new
Cricket Fever: Mumbai Indians,Sport,Q1 - 2019
Formula 1: Drive to Survive,Sport,Q1 - 2019
The Disappearance of Madeleine McCann,True crime,Q1 - 2019
Our Planet,Nature documentary,Q2 - 2019
Street Food,Culinary art,Q2 - 2019
1994,Docu-series,Q2 - 2019
Killer Ratings,Docu-series,Q2 - 2019
The Chef Show,Culinary art,Q2 - 2019
The Alcàsser Murders,True crime,Q2 - 2019
Exhibit A,True crime,Q2 - 2019
The Last Czars,Docu-series,Q3 - 2019
Queer Eye,Makeover reality,Q1 - 2018
Nailed It!,Competition,Q1 - 2018
Fastest Car,Motoring television series,Q2 - 2018
Cooking on High,Cooking show,Q2 - 2018
Sugar Rush,Baking competition,Q3 - 2018
Amazing Interiors,Reality,Q3 - 2018
Magic for Humans,Reality,Q3 - 2018
Stay Here,Reality,Q3 - 2018
First and Last,Reality,Q3 - 2018
Car Masters: Rust to Riches,Motoring television series,Q3 - 2018
Battlefish,Reality,Q3 - 2018
Made In Mexico,Spanish language reality series,Q3 - 2018
Dancing Queen,Celebrity,Q4 - 2018
The Curious Creations of Christine McConnell,Cooking show,Q4 - 2018
Haunted,Horror,Q4 - 2018
Westside,Music,Q4 - 2018
The Final Table,Culinary competition,Q4 - 2018
Death by Magic,Reality,Q4 - 2018
Nailed It! Holiday,Reality competition,Q4 - 2018
Tidying Up with Marie Kondo,Reality show,Q1 - 2019
Nailed It! Mexico,Reality,Q1 - 2019
Dating Around,Reality,Q1 - 2019
Selling Sunset,Reality,Q1 - 2019
You vs. Wild,Interactive Reality,Q2 - 2019
Flinch,Reality television/game show,Q2 - 2019
Jailbirds,Reality television,Q2 - 2019
Awake: The Million Dollar Game,Reality television,Q2 - 2019
My Next Guest Needs No Introduction with David Letterman,Interview,Q1 - 2018
The Joel McHale Show with Joel McHale,Comedy,Q1 - 2018
A Little Help with Carol Burnett,Variety show,Q2 - 2018
Busted!,Korean language variety show,Q2 - 2018
The Break with Michelle Wolf,Late-night,Q2 - 2018
Norm Macdonald Has a Show,Talk show,Q3 - 2018
Patriot Act with Hasan Minhaj,Talk show,Q4 - 2018
The Fix,Panel show,Q4 - 2018
